plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
4,29,C05,0.044,-0.043,0.461,siControl,siControl,0.044,0,L243
1,7,A07,-0.138,0.339,0.502,NM_018383,WDR33,0.339,0,L243
12,32,C08,-1.109,-0.641,0.513,wt,wt,-0.641,0,L243
10,51,E03,-1.281,0.647,0.52,NM_031925,TMPIT,0.52,0,L243
6,76,G04,-1.151,-0.5,0.524,NM_005656,TMPRSS2,-0.5,0,L243
8,7,A07,-0.437,0.285,0.547,NM_183375,ESSPL,0.285,0,L243
12,69,F09,-0.038,-0.699,0.555,wt,wt,-0.038,0,L243
9,58,E10,-0.082,0.499,0.556,NM_012291,ESPL1,0.499,0,L243
3,12,A12,0.565,0.867,0.562,NM_021920,SCT,0.565,0,L243
4,94,H10,0.819,0.23,0.57,siControl,siControl,0.57,0,L243
3,64,F04,0.23,0.56,0.592,NM_007272,CTRC,0.56,0,L243
8,26,C02,-0.57,-0.102,0.601,wt,wt,-0.102,0,L243
6,18,B06,0.573,0.528,0.601,NM_018995,MOV10L1,0.573,0,L243
9,88,H04,-0.531,0.738,0.601,NM_016355,DDX47,0.601,0,L243
1,52,E04,0.342,0.371,0.607,NM_152633,FLJ34064,0.371,0,L243
1,94,H10,0.366,-0.029,0.622,siControl,siControl,0.366,0,L243
12,92,H08,-1.457,-0.067,0.627,wt,wt,-0.067,0,L243
2,52,E04,0.428,0.895,0.63,NM_022127,SLC28A3,0.63,0,L243
12,12,A12,-1.693,0.13,0.637,wt,wt,0.13,0,L243
12,96,H12,-1.109,0.13,0.637,wt,wt,0.13,0,L243
12,24,B12,-1.027,0.13,0.637,siControl,siControl,0.13,0,L243
12,10,A10,-0.975,0.13,0.637,wt,wt,0.13,0,L243
12,72,F12,-0.873,0.13,0.637,wt,wt,0.13,0,L243
